Gene,Frequency
FLT3,16
NPM1,9
TP53,7
CD34,7
SAMHD1,5
DNMT3A,4
BCL2,4
MYC,3
IDH1,3
RUNX1,3
MCL1,3
BAX,2
JAK2,2
CD36,2
ATF4,2
CDKN1A,2
WT1,2
AKT1,2
IDH2,2
CD33,2
METTL3,2
MLL,2
CBS,2
MSC,2
SIRT1,2
CD4,1
IL16,1
LAPTM5,1
LAMP2,1
LAMP1,1
MSH2,1
UBE2O,1
BMPR1B,1
TAZ,1
BMP4,1
BCOR,1
CTCF,1
TET2,1
MASTL,1
BMF,1
EZH2,1
OPTN,1
TRIB2,1
CYP51A1,1
HS2ST1,1
HS6ST1,1
RUNX1T1,1
CEBPA,1
NAMPT,1
RRP9,1
RARA,1
RARG,1
PML,1
TRMT5,1
DYRK1A,1
PLIN2,1
ATR,1
SLFN11,1
DCK,1
PRDM16,1
SLC1A5,1
NUP98,1
IMPDH2,1
VHL,1
METTL14,1
LOXL2,1
NEDD4L,1
ACSL3,1
RAB7A,1
THBS1,1
SLC29A1,1
TGFBR1,1
AKR1B10,1
ASXL1,1
BCLAF1,1
RAD50,1
MSH3,1
PARP1,1
PGC,1
MYB,1
MMP14,1
AXL,1
AKR1B1,1
GRPEL1,1
TAF10,1
PPRC1,1
HCFC1,1
HMGB1,1
ACSL4,1
CCK,1
CSE1L,1
RIPK1,1
FHL1,1
PARG,1
CD38,1
TNFAIP3,1
STAT3,1
ABL1,1
KIT,1
NFYA,1
HERC1,1
BCR,1
MLLT3,1
BCL7A,1
HMGCS1,1
PTBP1,1
MERTK,1
GNL3L,1
VAV3,1
CLIP2,1
HOXA3,1
RELA,1
CD86,1
GATA2,1
GADD45G,1
GADD45A,1
EXO1,1
TNF,1
HOXA9,1
SLC16A1,1
ATG5,1
AHR,1
SPHK1,1
NRAS,1
ELN,1
CD80,1
KRAS,1
CALCRL,1
SOX11,1
SOX2,1
CARD10,1
OVOL2,1
SOX9,1
SRY,1
CXCL10,1
CCL2,1
MITF,1
ICAM1,1
SLC8A1,1
FGFR1,1
AURKB,1
RAD51,1
