row,col
4632,188
4632,3052
4632,8009
8074,6918
8074,5850
8074,8083
3391,17296
3391,1451
3391,3361
3391,3362
3391,501
3391,9289
3391,8289
3391,3243
3391,18466
3391,8515
3391,10647
3391,8968
3391,18351
3391,4502
3391,3394
3391,8712
3391,11369
3391,9488
3391,8659
3391,3375
3391,3365
3391,3378
3391,3399
3391,3370
3391,3907
3391,15245
3391,4518
3391,3373
3370,4419
3370,14530
3370,9480
3370,3517
3370,10647
3370,15336
3370,13959
3370,8306
3370,11949
3370,3500
3370,19313
3370,12801
3370,19628
3370,5162
3370,17879
3370,14884
3370,6918
3370,7540
3370,3564
3370,11670
3370,11893
3370,5578
3370,5150
3370,17825
3370,1165
3370,15949
3370,10640
3370,8305
3370,18354
3370,5850
3370,453
3370,3230
3370,10539
3370,4247
3370,102
3370,6914
3370,3270
3370,14710
3370,14711
3370,7846
3370,3520
3370,5296
3370,9289
3370,15302
3370,14189
3370,1311
3370,8000
3370,3363
3370,3908
3370,7866
3370,3375
3370,8659
3370,8763
3370,19606
3370,6583
3370,11777
3370,11229
3370,15386
3370,3378
3370,10930
3370,18466
3370,1442
3370,5650
3370,9479
3370,9174
3370,3907
3370,3269
3370,14236
3370,1451
3370,17912
3370,17299
3370,1440
3370,501
3370,3243
3370,4502
3370,17298
3370,3361
3370,3362
3370,17296
3370,3365
3370,8712
3370,3373
3370,3394
3370,3399
3370,8515
3370,18351
3370,8289
3370,8447
3370,4518
14743,12801
14743,18466
14743,4478
14743,19313
14743,14459
14743,11229
14743,14735
14743,3919
14743,3711
14743,14460
14743,1273
14743,11073
14743,5814
14743,14745
14743,12950
1450,1442
1450,18466
1450,17298
1450,3269
1450,18351
1450,4247
1450,18354
1450,7767
1450,5296
1450,501
1450,1440
1450,11229
1450,8289
1450,7540
1450,1451
1450,17296
1450,8515
1450,14710
1450,14711
1450,11670
15531,2912
15531,338
15531,3230
13779,3517
13779,1440
13779,8968
13779,18354
13779,11661
13779,18466
13779,6839
13779,5296
13779,17879
13779,1147
16070,18354
16070,16153
16070,15302
15949,17825
15949,18480
15949,15646
15949,8305
15949,5578
15949,19628
15949,8763
15949,6802
15949,14531
15949,16950
15949,9289
15949,15951
15949,19338
15949,12163
15949,7118
15949,7737
15949,10823
15949,1273
15949,3500
15949,8289
15949,13832
15949,8306
15949,5150
15949,11893
15949,4518
15949,11777
15949,7824
15949,8968
15949,3230
15949,1442
15949,19133
15949,13923
15949,19259
15949,8384
15949,11071
15949,6839
15949,3243
15949,6664
15949,14530
15949,14884
15949,10539
15949,5347
15949,15737
15949,3520
15949,16960
15949,14460
15949,8000
15949,13883
15949,10687
15949,3363
15949,10570
15949,18351
15949,3564
15949,3517
15949,3269
15949,8515
15949,11661
15949,1440
15949,14189
15949,7540
15949,10376
15949,13527
15949,8187
15949,4247
15949,7767
15949,3711
15949,17296
15949,1451
15949,12801
15949,11229
15949,501
15949,7765
15949,5359
15949,7866
15949,1401
15949,5850
15949,3365
15949,6809
15949,11369
15949,1165
15949,14710
15949,18466
5459,18466
5459,12801
5459,1440
5459,4328
14711,3907
14711,4518
14711,8763
14711,7866
14711,17299
14711,19628
14711,3269
14711,1451
14711,8712
14711,4502
14711,437
14711,3399
14711,19259
14711,17298
14711,7540
14711,1440
14711,501
14711,3394
14711,11229
14711,14884
14711,1442
14711,8659
14711,3243
14711,8289
14711,18466
14711,8515
14711,17296
14711,18354
14711,18351
14711,5850
14711,11670
14711,14710
7846,17631
7846,3399
7846,17879
7846,5578
7846,6914
7846,3394
7846,1442
