gene,median
NUDT3,7257.75
CIITA,5618.5
IKZF3,6882.0
EVL,3811.0
GSTA4,1948.5
AKNA,5607.5
TTN,7679.0
SRSF10,6528.0
GABARAP,83.0
LUC7L2,6808.0
IRF1,3553.0
WDFY4,6986.5
CHMP3,7643.0
CFLAR,4208.0
NLRC5,4895.0
BCHE,2262.0
DOCK8,5190.5
MRPL40,799.0
ALX1,3126.5
CETN2,959.0
GGH,1302.0
CKS2,638.5
TMEM98,805.5
MRPL15,1126.0
IKZF1,5729.5
MRPS17,1331.0
MED15,3111.5
UBE2V1,7625.0
MORN2,2025.5
PSMB6,373.0
HLA-DPA1,2752.0
ZBTB20,7602.75
ARMCX1,2168.5
CYB561A3,2718.0
HNRNPH2,7775.5
SYNE1,6590.0
ADD1,2160.0
RNF181,488.5
MLLT6,3550.0
EXOSC4,1660.0
POLR1C,1607.5
GDF15,631.5
TIMM10,975.5
GADD45GIP1,952.0
DNAJB6,2990.5
RABGAP1L,5328.5
NOP10,225.5
TNFRSF14,1897.0
MGRN1,4366.0
SF3B6,304.5
NAA38,1645.0
MANF,565.0
MRPL24,470.5
TRIM56,4870.5
CYTL1,4945.5
NDUFB7,338.5
NPM3,1325.5
MSI2,5051.5
DOCK2,5076.0
MICAL3,4843.0
INPP5D,5130.5
PFDN2,606.0
GPR143,750.0
TRA2B,2073.0
NME1,938.0
ITPR1,5803.0
FABP3,3468.5
EWSR1,1002.5
SORL1,4745.5
TPM3,1089.0
HSPG2,4118.5
NDUFB10,471.0
MRPL51,267.0
PCNA,588.5
AAK1,6258.5
CHMP2A,500.0
MRPL14,894.0
KIAA0319,7842.5
B2M,4.0
PML,5010.5
CELF1,3015.5
NDUFS5,164.0
ABHD17A,4577.0
SLCO2B1,3120.5
MEA1,796.0
PNRC2,4883.0
COX6A1,212.5
SQLE,2360.0
TMEM251,1268.0
MAGEH1,2048.0
C19orf53,581.0
RAB38,753.5
GGCT,926.5
SNRPD2,158.5
UBE2T,2221.5
PAK1IP1,1649.0
HMGB2,636.5
RNASEH2A,1998.0
SF3B5,429.5
ADM,2792.5
KDELR3,1462.5
PRRC2A,5354.0
PBDC1,1497.0
CUEDC2,1259.5
TUBB4A,2095.0
PSENEN,727.5
COPRS,1057.5
