gene,median
SAMD11,4495.0
KLHL17,3603.0
TTLL10,5857.0
SCNN1D,4220.5
GABRD,5609.0
PRKCZ,3026.5
SKI,1411.0
TPRG1L,946.0
DFFB,4292.0
KCNAB2,3892.0
TAS1R1,5459.0
THAP3,4247.0
CAMTA1,3857.0
VAMP3,803.5
PER3,4932.5
PARK7,384.0
H6PD,910.0
PIK3CD,2907.0
KIF1B,1564.0
PEX14,2162.0
TARDBP,827.0
UBIAD1,2350.0
FBXO44,3131.0
FBXO6,2112.0
PLOD1,672.0
MIIP,2161.0
TNFRSF8,5488.0
PDPN,5857.0
KAZN,4433.5
TMEM51,2339.0
FHAD1,5588.0
EFHD2,704.5
CELA2B,5325.0
DNAJC16,2532.0
FBLIM1,2103.0
CROCC,4391.5
ACTL8,5335.0
PLA2G2F,6075.0
VWA5B1,4999.0
ALPL,4618.0
CELA3B,5641.5
CELA3A,5658.5
CDC42,1459.0
PITHD1,1642.0
SRRM1,1244.0
RHD,5744.0
TMEM50A,1601.0
EXTL1,5336.0
PDIK1L,3870.5
FAM110D,5546.0
CNKSR1,4344.0
CEP85,2858.5
CD52,4776.0
DHDDS,2845.0
ARID1A,2424.0
SFN,1987.0
FAM76A,4115.5
STX12,2022.0
SMPDL3B,4302.5
XKR8,3376.0
PHACTR4,1139.0
TRNAU1AP,3465.0
EPB41,3600.0
PTPRU,3081.5
SERINC2,704.0
TINAGL1,1462.5
CCDC28B,4247.0
IQCC,3833.0
EIF3I,634.0
LCK,5515.0
HDAC1,568.0
TSSK3,4958.0
AZIN2,4926.0
ZNF362,2429.5
ZSCAN20,4581.5
C1orf94,5857.0
GJB3,5339.0
ZMYM4,2057.0
NCDN,3127.0
AGO4,3467.0
MAP7D1,2269.5
ZC3H12A,1803.5
DNALI1,3989.0
CDCA8,2253.0
MANEAL,2854.0
NDUFS5,551.0
MACF1,2320.0
PPIE,3059.0
MFSD2A,4208.0
CAP1,277.5
ZMPSTE24,1092.0
SMAP2,648.0
ZFP69B,4456.0
EXO5,2257.0
NFYC,1386.0
KCNQ4,5076.0
CTPS1,2735.0
PPCS,1981.0
CCDC30,5450.0
PPIH,2966.0
ERMAP,3983.0
ZNF691,4042.0
MPL,5205.0
PTPRF,1098.0
ST3GAL3,3265.0
ARTN,4953.5
IPO13,2006.0
ATP6V0B,530.0
B4GALT2,1390.0
DMAP1,3688.0
RNF220,1551.0
TOE1,3054.0
NASP,2111.0
TMEM69,1843.0
MAST2,2712.0
RAD54L,3728.0
FOXE3,5482.5
FOXD2,4462.0
CDKN2C,2514.0
RNF11,1190.0
ZFYVE9,2155.0
GPX7,3028.0
ZYG11B,1776.0
ZYG11A,2958.5
SCP2,1056.0
DMRTB1,5875.5
TCEANC2,3700.0
ACOT11,4349.0
TMEM61,5287.0
PRKAA2,3820.5
C8A,2938.0
FGGY,3626.0
NFIA,3799.0
USP1,2058.0
ANGPTL3,2324.0
ATG4C,3221.0
ALG6,3713.0
PGM1,761.5
ROR1,4055.0
UBE2U,6044.0
CACHD1,4742.0
DNAJC6,4407.0
SGIP1,5842.0
MIER1,2506.5
IL23R,5526.0
LRRC7,5748.0
TYW3,2471.0
AK5,5706.0
DNAJB4,3877.0
PRKACB,3732.0
DNASE2B,6143.5
CLCA2,6289.0
SH3GLB1,1736.0
LMO4,1658.0
LRRC8C,4370.0
ZNF326,3367.0
BTBD8,4837.0
CCDC18,3925.0
DR1,2528.0
FNBP1L,1250.0
SLC44A3,2082.5
AGL,1249.0
RTCA,1676.5
CDC14A,4491.0
GPR88,5460.0
VCAM1,5366.0
NTNG1,6099.0
SYPL2,4730.5
ATXN7L2,3965.0
CYB561D1,3344.0
AMPD2,3001.0
GSTM5,5715.0
CSF1,2083.0
AHCYL1,931.0
UBL4B,5920.5
RBM15,1040.0
PROK1,5747.5
