gene,median
TNMD,7558.0
DPM1,375.0
FGR,4847.0
GCLC,2175.0
NFYA,2749.0
ENPP4,3976.0
SEMA3F,4165.0
CFTR,7212.0
RAD52,3833.0
BAD,3416.0
LAP3,1522.0
CD99,868.0
HS3ST1,4783.0
WNT16,5966.0
MAD1L1,3718.0
LASP1,2713.0
SNX11,3299.0
M6PR,781.0
CYP26B1,5612.0
ICA1,4385.0
ALS2,2561.0
CASP10,5221.0
CFLAR,3730.0
TFPI,4082.0
RBM5,1845.0
MTMR7,6290.0
SLC7A2,4266.0
ARF5,2281.0
POLDIP2,984.0
PLXND1,3812.0
AK2,1730.0
CD38,6740.0
FKBP4,989.0
RBM6,2682.0
RECQL,1525.0
NDUFAB1,1073.0
PDK4,6294.0
ZMYND10,5447.0
SLC25A13,1692.0
CDC27,1262.0
CALCR,7268.0
HCCS,1392.0
DVL2,2888.0
PRSS22,4383.0
SLC25A5,117.0
HOXA11,6217.0
POLR2J,2516.0
MEOX1,5269.0
LIG3,3289.0
SPPL2B,4059.0
COPZ2,4531.0
PRKAR2B,2833.5
CREBBP,2043.0
MPO,6271.0
PON1,7252.0
CROT,3888.0
ABCB4,6940.0
ZNF195,2857.0
ITGAL,6776.0
PDK2,3377.0
ITGA3,2514.0
ZFX,2470.0
LAMP2,943.5
ITGA2B,5649.0
ASB4,7226.0
CRLF1,3800.0
OSBPL7,4686.0
YBX2,3868.0
MAP3K14,4152.0
ABCC8,5521.0
CACNG3,6790.0
AP2B1,557.0
TAC1,7579.0
CX3CL1,4797.0
CACNA1G,5824.0
TNFRSF12A,1264.0
MAP3K9,3914.0
RALA,1661.0
ETV1,4227.0
ALDH3B1,3583.0
PHTF2,2757.0
FARP2,4150.0
USH1C,5950.0
TBXA2R,4903.0
IFRD1,2092.0
COX10,2972.0
GTF2IRD1,3055.0
VPS41,1583.0
ELAC2,1778.0
SCIN,5596.0
ARSD,4571.0
MYH13,6775.0
ADIPOR2,1606.0
PRSS21,4922.0
MARK4,3621.0
PROM1,5817.0
PAFAH1B1,2363.0
NOS2,6027.0
DNAH9,6605.0
KIAA0100,1682.0
